	LncRNA name	Synonyms	Ensembl ID	Refseq ID	Position	Cancer name	ICD-0-3-T	ICD-0-3-M	Methods	Sample (tissue/ cell line)	Expression pattern	Functional description	PubMed ID	Year	Title
1263	SOX2OT	SOX2-OT; SOX2OT; NCRNA00043	ENSG00000242808	NR_075091	chr3:180989770-181836880	esophageal squamous cell carcinoma	C15	M8070/3	qPCR, RNAi etc.	ESCC tissue, cell lines (NT2, U-87 MG etc.)	up-regulated	Our data revealed a high level of SOX2OT expression in tumor samples of ESCC, compared to that of apparently normal marginal tissues obtained from the same patients (P<0.01). All together, our data provide a novel regulatory mechanism governing the key stem cell pluripotency genes, SOX2 and OCT4, mediated by the lncRNA SOX2OT.	24105929	2014	Two novel splice variants of SOX2OT, SOX2OT-S1, and SOX2OT-S2 are coupregulated with SOX2 and OCT4 in esophageal squamous cell carcinoma.
1264	SOX2OT	SOX2-OT; SOX2OT; NCRNA00043	ENSG00000242808	NR_075091	chr3:180989770-181836880	esophageal squamous cell carcinoma	C15	M8070/3	qPCR etc.	human embryonal carcinoma stem cells (NT-2)	down-regulated	Compared with mock-transfected cells, overexpression of miR-211 caused a significant down-regulation of both genes (P<0.05). Furthermore, flow-cytometry assay revealed a significant elevation in sub-G1 cell population following ectopic expression of miR-211 in NT-2 cells	26862518	2016	Down-Regulatory Effects of miR-211 on Long Non-Coding RNA SOX2OT and SOX2 Genes in Esophageal Squamous Cell Carcinoma
1265	SOX2OT	SOX2-OT; SOX2OT; NCRNA00043	ENSG00000242808	NR_075091	chr3:180989770-181836880	hepatocellular carcinoma	C22.0	M8170/3	qPCR, RNAi etc.	HCC tissue, cell lines (HepG2, SMMC-7721)	up-regulated	lncRNA Sox2ot expression level was significantly higher in HCC tissues compared with adjacent non-tumor tissues. High expression of lncRNA Sox2ot was associated with histological grade, TNM stage, and vein invasion.	26097588	2015	Up-regulation of long non-coding RNA Sox2ot promotes hepatocellular carcinoma cell metastasis and correlates with poor prognosis.
1266	SOX2OT	SOX2-OT; SOX2OT; NCRNA00043	ENSG00000242808	NR_075091	chr3:180989770-181836880	lung squamous cell carcinoma	C34	M8070/3	qPCR, Western blot, RNAi, RIP etc.	cell lines (A549, HCC827, SK-MES-1, NCI-H1299 etc.)	up-regulated	Sox2ot exprssion in lung cancer is significantly higher and promotes cancer cell proliferation. Sox2ot plays an important role in regulating lung cancer cell proliferation, and may represent a novel prognostic indicator for the disease.	24927902	2014	A long noncoding RNA Sox2ot regulates lung cancer cell proliferation and is a prognostic indicator of poor survival.
1267	SOX2OT-S1	SOX2OT-S1	N/A	N/A	chr3:181610363-181741217 	esophageal squamous cell carcinoma	C15	M8070/3	qPCR, RNAi etc.	ESCC tissue, cell lines (NT2, U-87 MG etc.)	up-regulated	The results of qPCR revealed that SOX2OT-S1 and SOX2OT-S2 were overexpressed in tumor samples of ESCC, compared to their marginal non-tumor tissue counterparts. Furthermore, overexpression of SOX2OT-S2 in tumor samples, similar to SOX2 and OCT4, was statistically significant (P<0.01).	24105929	2014	Two novel splice variants of SOX2OT, SOX2OT-S1, and SOX2OT-S2 are coupregulated with SOX2 and OCT4 in esophageal squamous cell carcinoma.
1268	SOX2OT-S2	SOX2OT-S2	N/A	N/A	chr3:181610363-181741217	esophageal squamous cell carcinoma	C15	M8070/3	qPCR, RNAi etc.	ESCC tissue, cell lines (NT2, U-87 MG etc.)	up-regulated	The results of qPCR revealed that SOX2OT-S1 and SOX2OT-S2 were overexpressed in tumor samples of ESCC, compared to their marginal non-tumor tissue counterparts. Furthermore, overexpression of SOX2OT-S2 in tumor samples, similar to SOX2 and OCT4, was statistically significant (P<0.01).	24105929	2014	Two novel splice variants of SOX2OT, SOX2OT-S1, and SOX2OT-S2 are coupregulated with SOX2 and OCT4 in esophageal squamous cell carcinoma.
1269	SPRY4-IT1	SPRY4-IT1	ENSG00000281881	NR_131221	chr5:142317620-142318322	bladder cancer	C67		qPCR, RNAi etc.	bladder cancer tissue, cell lines (J82, T24, SW780, SV-40 etc.)	up-regulated	SPRY4-IT1 levels were highly positively correlated with histological grade, tumor stage, and lymph node metastasis and reduced overall survival. A multivariate analysis showed that SPRY4-IT1 expression is an independent prognostic factor of overall survival in patients with UCB.	25973088	2015	Increased expression of SPRY4-IT1 predicts poor prognosis and promotes tumor growth and metastasis in bladder cancer.
1270	SPRY4-IT1	SPRY4-IT1	ENSG00000281881	NR_131221	chr5:142317620-142318322	breast cancer	C50		microarray, qPCR, Western blot, RNAi etc.	breast cancer tissue, cell lines (MD-MB-231, MD-MB-435S, MCF-10A, MCF-7 etc.)	up-regulated	SPRY4-IT1 expression was significantly upregulated in 48 breast cancer tumor tissues comparedwith normal tissues. Additionally, increased SPRY4-IT1 expression was found to be associated with a larger tumor size and an advanced pathological stage in breast cancer patients. SPRY4-IT1 is a novel prognostic biomarker and a potential therapeutic candidate for breast cancer.	25742952	2015	The long noncoding RNA SPRY4-IT1 increases the proliferation of human breast cancer cells by upregulating ZNF703 expression.
1271	SPRY4-IT1	SPRY4-IT1	ENSG00000281881	NR_131221	chr5:142317620-142318322	clear cell renal cell carcinoma	C64.9	M8005/0	qPCR, RNAi etc.	ccRCC tissue, cell lines (786-O, ACHN, Caki-1, Caki-2)	up-regulated	The relative level of SPRY4-IT1 was significantly higher in ccRCC tissues compared to the adjacent normal renal tissues. And higher expression of SPRY4-IT1 was found in renal cancer cell lines compared with the normal human proximal tubule epithelial cell line HK-2. The ccRCC patients with higher SPRY4-IT1 expression had an advanced clinical stage and poorer prognosis than those with lower SPRY4-IT1 expression.	25337221	2014	High expression of long non-coding RNA SPRY4-IT1 predicts poor prognosis of clear cell renal cell carcinoma.
1272	SPRY4-IT1	SPRY4-IT1	ENSG00000281881	NR_131221	chr5:142317620-142318322	esophageal squamous cell carcinoma	C15	M8070/3	qPCR etc.	blood (plasma and serum)	up-regulated	Furthermore, plasma levels of POU3F3, HNF1A-AS1 and SPRY4-IT1 were significantly higher in ESCC patients compared with normal controls.By receiver operating characteristic curve (ROC) analysis, among the three lncRNAs investigated, plasma POU3F3 provided the highest diagnostic performance for detection of ESCC (the area under the ROC curve (AUC), 0.842.	25608466	2015	Identification of the long non-coding RNA POU3F3 in plasma as a novel biomarker for diagnosis of esophageal squamous cell carcinoma.
1273	SPRY4-IT1	SPRY4-IT1	ENSG00000281881	NR_131221	chr5:142317620-142318322	esophageal squamous cell carcinoma	C15	M8070/3	qPCR, RNAi etc.	ESCC tissue, cell lines (KYSE-450, KYSE-510, KYSE-150 etc.)	up-regulated	SPRY4-IT1 levels were significantly higher in ESCC tissues and cells than in corresponding adjacent noncancerous tissues and nontumorigenic esophageal epithelial cells, and the ESCC patients with higher SPRY4-IT1 expression had an advanced clinical stage and poorer prognosis than those with lower SPRY4-IT1 expression. In vitro assays demonstrated that knockdown of SPRY4-IT1 reduced cell proliferation, invasiveness, and migration. In vivo assays demonstrated that knockdown of SPRY4-IT1 decreases cell growth.	24810925	2014	Long noncoding RNA SPRY4-IT1 is upregulated in esophageal squamous cell carcinoma and associated with poor prognosis.
1274	SPRY4-IT1	SPRY4-IT1	ENSG00000281881	NR_131221	chr5:142317620-142318322	esophageal squamous cell carcinoma	C15	M8070/3	qPCR, Western blot, RNAi etc.	cell lines (EC109, EC9706, KYSE30, and KYSE450) 	up-regulated	we evaluated the SPRY4-IT1 expression levels in a series of ESCC patients and a panel of ESCC cell line using qRT-PCR. CCK8 and colony formation assay were performed to assess the effect of SPRY4-IT1siRNA on cell proliferation, migration, and invasion of ESCC cell lines. SPRY4-IT1 expression was upregulated in ESCC tissues and the higher expression of SPRY4-IT1 was significantly correlated with tumor grade, depth of invasion, and lymph node metastasis. Moreover, silencing of SPRY4-IT1 expression inhibited ESCC cell proliferation, colony formation, migration, and invasion	26883252	2016	Long noncoding RNA SPRY4-IT1 promotes esophageal squamous cell carcinoma cell proliferation, invasion, and epithelial-mesenchymal transition
1275	SPRY4-IT1	SPRY4-IT1	ENSG00000281881	NR_131221	chr5:142317620-142318322	esophageal squamous cell carcinoma	C15	M8070/3	qPCR, Western blot, Cell proliferation assay ect.	cell lines (Eca109, KYSE150, Eca9706, EC18, EC1 ect.)	up-regulated	We find that the expression of lncRNA SPRY4-IT1 is significantly upregulated in ESCC cell lines as compared with human esophageal epithelial cell line HEEC. Overexpression of SPRY4-IT1 can increase in vitro motility of ESCC cells via induction of epithelial-mesenchymal transition (EMT), which is characterized by increasing the expression of vimentin (Vim) and fibronectin (FN) with a concomitant decrease of E-cadherin (E-Cad) and ZO-1. Further, the knockdown of SPRY4-IT1 also significantly attenuates TFG-β-induced EMT of ESCC cells. Further, lncRNA SPRY4-IT1 can directly increase the transcription, expression, and nuclear localization of Snail, one key transcription factor during the EMT processes of cancer cells, while siRNA-mediated specific knockdown of Snail can significantly attenuate SPRY4-IT1-induced EMT of ESCC cells.	27250657	2016	Upregulation of long noncoding RNA SPRY4-IT1 promotes metastasis of esophageal squamous cell carcinoma via induction of epithelial-mesenchymal transition.
1276	SPRY4-IT1	SPRY4-IT1	ENSG00000281881	NR_131221	chr5:142317620-142318322	gastric cancer	C16		qPCR, Western blot, RNAi etc.	gastric cancer tissue, cell lines AGS, BGC-823, HGC-27, SGC-7901, MGC80-3, MKN-45)	up-regulated	SPRY4-IT1 expression was elevated in GC tissues and cell lines, and SPRY4-IT1 levels were highly positively correlated with tumor size, invasion depth, distant metastasis, TNM stage, and reduced overall survival (OS) and disease-free survival (DFS). SPRY4-IT1 may regulate the proliferation, migration, and invasion ability of GC cells, partially through regulation of cyclin D1, MMP2, and MMP9 expression.	25835973	2015	Long noncoding RNA SPRY4-IT1 predicts poor patient prognosis and promotes tumorigenesis in gastric cancer.
1277	SPRY4-IT1	SPRY4-IT1	ENSG00000281881	NR_131221	chr5:142317620-142318322	gastric cancer	C16		qPCR, Western blot, RNAi etc.	gastric cancer tissue, cell lines (SGC7901, BGC823, MGC803, AGS, MKN45 etc.)	down-regulated	SPRY4-IT1 expression is decreased in gastric cancer tissues and associated with larger tumor size, advanced pathological stage, deeper depth of invasion and lymphatic metastasis. Patients with lower SPRY4-IT1 expression had a relatively poor prognosis. DNA methylation may be a key factor in controlling the SPRY4-IT1 expression. Furthermore, SPRY4-IT1 contributed to gastric cancer cells metastasis might partly via regulating epithelial-mesenchymal transition (EMT) process.	26238992	2015	Decreased long noncoding RNA SPRY4-IT1 contributing to gastric cancer cell metastasis partly via affecting epithelial-mesenchymal transition.
1278	SPRY4-IT1	SPRY4-IT1	ENSG00000281881	NR_131221	chr5:142317620-142318322	glioma		M9380/3	qPCR, Western blot, RNAi etc.	glioma cell lines (U251, SF295) and the normal human astrocytes (NHA)	up-regulated	We examined for the first time the expression and role of SPRY4-IT1 in glioma cells. The results of our study showed that SPRY4-IT1 was up-regulated in human glioma tissues and cell lines. Knockdown of SPRY4-IT1 could inhibit glioma cell growth and migration. Moreover, knockdown of SPRY4-IT1 could inhibit epithelial-mesenchymal transition (EMT) phenotype in glioma cells.	26464658	2015	Knockdown of long noncoding RNA SPRY4-IT1 suppresses glioma cell proliferation, metastasis and epithelial-mesenchymal transition
1279	SPRY4-IT1	SPRY4-IT1	ENSG00000281881	NR_131221	chr5:142317620-142318322	hepatocellular carcinoma	C22.0	M8170/3	qPCR ect.	blood samples, cell lines (Hep-3B, HepG2, HuH-7 ect.)	up-regulated	In the present study, we focused on the expression pattern of lncRNA SPRY4 intronic transcript 1 (SPRY4-IT1) and its clinical significance in HCC diagnostics. The levels of SPRY4-IT1 were upregulated in HCC and were associated with tumor differentiation (r=0.249, p=0.039), tumor size (r=0.258, p=0.024) and tumor-node-metastasis (TNM) stage (r=0.287, p=0.015). 	27278245	2016	Potential diagnostic value of lncRNA SPRY4-IT1 in hepatocellular carcinoma.
1280	SPRY4-IT1	SPRY4-IT1	ENSG00000281881	NR_131221	chr5:142317620-142318322	melanoma		M8720/3	qPCR, RNAi, FISH etc.	melanoma tissue	up-regulated	The elevated expression of SPRY4-IT1 in melanoma cells compared to melanocytes, its accumulation in cell cytoplasm, and effects on cell dynamics, including increased rate of wound closure on SPRY4-IT1 overexpression, suggest that the higher expression of SPRY4-IT1 may have an important role in the molecular etiology of human melanoma.	21558391	2011	The melanoma-upregulated long noncoding RNA SPRY4-IT1 modulates apoptosis and invasion.
1281	SPRY4-IT1	SPRY4-IT1	ENSG00000281881	NR_131221	chr5:142317620-142318322	melanoma		M8720/3	qPCR ect.	blood samples	up-regulated	SPRY4-IT1 expression is high in melanoma patients but low in healthy controls, and is closely associated with tumor site and tumor stage. Elevated SPRY4-IT1 significantly reduces overall survival rates of patients and is considered as an independent prognostic factor in patients with melanoma.	27239436	2016	Clinical significance of long noncoding RNA SPRY4-IT1 in melanoma patients.
1282	SRA1	SRA1; SRA; SRAP; STRAA1; pp7686	ENSG00000213523	NR_045587	chr5:140537340-140558310	breast cancer	C50		qPCR etc.	cell lines (BT-20, MDA-MB-469, MDA-MB-231 etc.)	differential expression	We recently reported a decreased estrogen receptor activity in breast cancer cells overexpressing SRAP, suggesting antagonist roles played by SRA1 RNA and SRAP. The primary genomic sequence in and around intron-1 is sufficient to lead to a differential splicing of this intron. We propose that alternative splicing of intron-1 is one mechanism used by breast cancer cells to regulate the balance between coding and functional noncoding SRA1 RNAs.	16848684	2006	Alternative splicing of the first intron of the steroid receptor RNA activator (SRA) participates in the generation of coding and noncoding RNA isoforms in breast cancer cell lines.
1283	SRA1	SRA1; SRA; SRAP; STRAA1; pp7686	ENSG00000213523	NR_045587	chr5:140537340-140558310	breast cancer	C50		qPCR, Western blot etc.	breast cancer tissue, cell line (T5)	up-regulated	We report a significant higher SRA-intron-1 relative expression in breast tumors with higher progesterone receptor contents. Using an antisense oligoribonucleotide, we have successfully reprogrammed endogenous SRA splicing and increased SRA RNA-intron-1 relative level in T5 breast cancer cells. Our results suggest that the balance coding/non-coding SRA transcripts not only characterizes particular tumor phenotypes but might also, through regulating the expression of specific genes, be involved in breast tumorigenesis and tumor progression.	19483093	2009	Increasing the relative expression of endogenous non-coding Steroid Receptor RNA Activator (SRA) in human breast cancer cells using modified oligonucleotides.
1284	SRA1	SRA1; SRA; SRAP; STRAA1; pp7686	ENSG00000213523	NR_045587	chr5:140537340-140558310	breast cancer	C50		qPCR, Western blot etc.	cell line (HEK293T )	differential expression	Disturbance of the balance between SRAP1-coding and non-coding SRA1 RNAs in breast tumor tissues might be involved in breast tumorigenesis.	20079837	2010	Chlamydial protease CT441 interacts with SRAP1 co-activator of estrogen receptor alpha and partially alleviates its co-activation activity.
1285	SRA1	SRA1; SRA; SRAP; STRAA1; pp7686	ENSG00000213523	NR_045587	chr5:140537340-140558310	laryngeal squamous cell carcinoma	C32	M8070/3	qPCR etc.	LSCC tissue	down-regulated	We discovered that five lncRNAs were differentially expressed between primary LSCC samples and adjacent normal tissues. Among them, three lncRNAs were up-expressed in tumor specimens, including CDKN2B-AS1, HOTAIR and MALAT1. More, two lncRNAs had significant down-expression, which were lncRNA RRP1B and SRA1. Cisplatin and paclitaxel have target function on significant lncRNAs in LSCC, which presents novel molecular targets to cure LSCC patients and also leads an orientation for developing new drugs.	25257554	2014	Cisplatin and paclitaxel target significant long noncoding RNAs in laryngeal squamous cell carcinoma.
1286	SRHC	SRHC; LINC01018	ENSG00000250056	NR_024423	chr5:6582136-6588499	hepatocellular carcinoma	C22.0	M8170/3	qPCR etc.	HCC tissue, cell lines (BEL-7402, SK-Hep1, Huh7, MHCC-97H)	down-regulated	We found that a lower SRHC expression level was significantly more frequent in tissues with a high serum a-fetoprotein level and a low degree of differentiated tumors. Furthermore, we found that the promoter region of SRHC contains a CpG-rich island and that SRHC is down-regulated in tumors by DNA methylation.	25512078	2014	Epigenetically silenced long noncoding-SRHC promotes proliferation of hepatocellular carcinoma.
1287	ST7OT1	ST7OT1; ST7-AS1; ST7AS1	ENSG00000227199	NR_002330	chr7:116952446-116954334	glioma		M9380/3	qPCR etc.	cell lines(U251, U87)	up-regulated	MEG3 and ST7OT1 are up-regulated in both cell lines under apoptosis induced using both agents. The induction of GAS5 is only clearly detected during DOX-induced apoptosis, whereas the up-regulation of neat1 and MIR155HG is only found during RES-induced apoptosis in both cell lines. However, TUG1, BC200 and MIR155HG are down regulated when necrosis is induced using a high dose of DOX in both cell lines. 	25645334	2015	Altered expression of long non-coding RNAs during genotoxic stress-induced cell death in human glioma cells
1288	SUMO1P3	SUMO1P3	ENSG00000235082	NR_002190	chr1:160317403-160317706	gastric cancer	C16		qPCR etc.	gastric cancer tissue	up-regulated	The results showed that SUMO1P3 was significantly up-regulated in gastric cancer tissues compared with paired-adjacent nontumorous tissues (p < 0.01). Its expression level was significantly correlated with tumor size (p = 0.003), differentiation (p = 0.002), lymphatic metastasis (p = 0.001), and invasion (p = 0.039). We found that SUMO1P3 is up-regulated in gastric cancer and may be a new tumor marker for the diagnosis of gastric cancer.	23996296	2013	Up-regulation of SUMO1 pseudogene 3 (SUMO1P3) in gastric cancer and its clinical association.
1289	T-ALL-R-LncR1	T-ALL-R-LncR1	N/A	N/A	N/A	acute lymphoblastic leukemia		M9835/3	qPCR, Western blot, RNAi etc.	T-ALL jurkat cell	up-regulated 	T-ALL-R-LncR1 was not observed in human normal tissues. However, an obvious expression was observed in some tumor tissues. T-ALL-R-LncR1 was markedly expressed in neoplastic T lymphocytes of 11 cases out of 21 children with T-ALL, indicating that T-ALL-R-LncR1 might be associated with T-ALL. T-ALL-R-LncR1 knockdown predisposed Jurkat cells to undergo pro-apoptotic factor Par-4-induced apoptosis. Further studies revealed that T-ALL-R-LncR1 knockdown facilitated the formation of a Par-4/THAP1 protein complex, resulting in the activation of caspase-3 and an increase of pro-apoptotic Smac protein in T-ALL cells	23906015	2014	A novel long non-coding RNA T-ALL-R-LncR1 knockdown and Par-4 cooperate to induce cellular apoptosis in T-cell acute lymphoblastic leukemia cells
1290	TATDN1	TATDN1; CDA11	ENSG00000147687	NR_106903	chr8:124488485-124539458	non-small cell lung cancer	C34	M8046/3	microarray, qPCR, Western blot, Flow cytometry assay, RNAi etc.	NSCLC tumor tissues, cell lines (95D, 95C)	up-regulated	We found that TATDN1 (Homo sapiens TatD DNase domain containing 1, TATDN1), one of LncRNAs, was highly expressed in 95D cells and NSCLC tumor tissues compared to 95C cells. Knockdown of TATDN1-1 by shRNA significantly inhibited cell proliferation, adhesion, migration and invasion in 95D cells. Further mechanism study showed that TATDN1 knockdown suppressed the expression of E-cadherin, HER2, β-catenin and Ezrin. Moreover, knockdown TATDN1 also inhibited tumor growth and metastasis in a 95D mouse model in vivo by inhibiting β-catenin and Ezrin. These data indicate that TATDN1 expression is associated with 95D cells' higher potential of invasion and metastasis, and suggest that TATDN1 may be a potential prognostic factor and therapeutic target for NSCLCs	26943769	2016	The role and potential mechanisms of LncRNA-TATDN1 on metastasis and invasion of non-small cell lung cancer
1291	TC0100223	TC0100223	N/A	N/A	N/A	epithelial ovarian cancer	C56.9		microarray, qPCR etc.	epithelial ovarian cancer tissue, cell lines (SKOV3 etc.)	down-regulated	Notably, three candidates (TC0100223, TC0101686 and TC0101441) were aberrantly expressed in ERa-positive compared to ERa-negative EOC tissues, showing correlations with some malignant cancer phenotypes such as advanced FIGO stage and/or high histological grade. Furthermore, multivariate analysis indicated that TC0101441 was an independent prognostic factor for overall survival.	24481591	2014	Expression and clinical significance of estrogen-regulated long non-coding RNAs in estrogen receptor a-positive ovarian cancer progression.
1292	TC0101441	TC0101441	N/A	N/A	chr1:202377159-202378011	epithelial ovarian cancer	C56.9		microarray, qPCR etc.	epithelial ovarian cancer tissue, cell lines (SKOV3 etc.)	up-regulated	Notably, three candidates (TC0100223, TC0101686 and TC0101441) were aberrantly expressed in ERa-positive compared to ERa-negative EOC tissues, showing correlations with some malignant cancer phenotypes such as advanced FIGO stage and/or high histological grade. Furthermore, multivariate analysis indicated that TC0101441 was an independent prognostic factor for overall survival. 	24481591	2014	Expression and clinical significance of estrogen-regulated long non-coding RNAs in estrogen receptor a-positive ovarian cancer progression.
1293	TC0101441	TC0101441	N/A	N/A	chr1:202377159-202378011	epithelial ovarian cancer	C56.9		microarray, qPCR, Western blot, RNAi etc.	epithelial ovarian cancer tissue, cell lines (SKOV3, A2780, PEO1 etc.)	up-regulated	The results showed that ERa-positive tissues had higher expression of TC0101441 and lower expression TC0101686. Low-expression of TC0101686 was significantly related to ERa-positive EOC tissues with advanced FIGO stage ( P< 0.05), while high-expression of TC0101441 was closely correlated with advanced FIGO stage, high histological grade and lymph node metastasis (P<0.01).	24380700	2014	Effects of oestrogen on long noncoding RNA expression in oestrogen receptor alpha-positive ovarian cancer cells.
1294	TC0101686	TC0101686	N/A	N/A	chr1:244341256-244343791	epithelial ovarian cancer	C56.9		microarray, qPCR etc.	epithelial ovarian cancer tissue, cell lines (SKOV3 etc.)	down-regulated	Notably, three candidates (TC0100223, TC0101686 and TC0101441) were aberrantly expressed in ERa-positive compared to ERa-negative EOC tissues, showing correlations with some malignant cancer phenotypes such as advanced FIGO stage and/or high histological grade. Furthermore, multivariate analysis indicated that TC0101441 was an independent prognostic factor for overall survival. 	24481591	2014	Expression and clinical significance of estrogen-regulated long non-coding RNAs in estrogen receptor a-positive ovarian cancer progression.
1295	TC0101686	TC0101686	N/A	N/A	chr1:244341256-244343791	epithelial ovarian cancer	C56.9		microarray, qPCR, Western blot, RNAi etc.	epithelial ovarian cancer tissue, cell lines (SKOV3, A2780, PEO1 etc.)	down-regulated	The results showed that ERa-positive tissues had higher expression of TC0101441 and lower expression TC0101686. Low-expression of TC0101686 was significantly related to ERa-positive EOC tissues with advanced FIGO stage ( P< 0.05), while high-expression of TC0101441 was closely correlated with advanced FIGO stage, high histological grade and lymph node metastasis (P<0.01).	24380700	2014	Effects of oestrogen on long noncoding RNA expression in oestrogen receptor alpha-positive ovarian cancer cells.
1296	TC1500845	TC1500845	N/A	N/A	chr15:38773376-38774597	ovarian cancer	C56.9		microarray, qPCR etc.	epithelial ovarian cancer tissue, cell lines (SKOV3 etc.)	up-regulated	The results revealed that the expression levels of TC0100223 and TC0101686 were significantly downregulated by E2, whereas TC1500845 and TC0101441 were significantly upregulated by E2 in SKOV3 cells, consistent with the microarray results.	24481591	2014	Expression and clinical significance of estrogen-regulated long non-coding RNAs in estrogen receptor a-positive ovarian cancer progression.
1297	TCF7	TCF7; TCF-1	ENSG00000081059	N/A	chr5:134114711-134151865	hepatocellular carcinoma	C22.0	M8170/3	qPCR, Western blot, Luciferase reporter assay etc.	HCC cell lines (SK-Hep-1, BEL-7402)	up-regulated	We demonstrate that IL-6 could induce lncTCF7 expression in a time- and dose-dependent manner, and we showed that IL-6 transcriptionally activated the expression of lncTCF7 in HCC cells by activating STAT3, a transcription activator which binds to promoter regions of lncTCF7. Furthermore, knocking-down STAT3 and inhibiting STAT3 activation reduced lncTCF7 expression. Importantly, RNA interference-based attenuation of lncTCF7 prevented IL-6-induced EMT and cell invasion.	26452542	2015	Long noncoding RNA lncTCF7, induced by IL-6/STAT3 transactivation, promotes hepatocellular carcinoma aggressiveness through epithelial-mesenchymal transition
1298	TCL6	TCL6; TNG1; TNG2	ENSG00000187621	NR_028288	chr14:95650498-95679833	acute T-lymphocytic leukemia		M9837/3	qPCR etc.	cell lines (COS7 )	up-regulated	In tumor cells, a high level of expression was observed in a cell line of acute T-lymphocytic leukemia derived from patient NL. The TCL6 gene as well as TCL6-TML1 fusion transcripts are mainly expressed in the B-cell lineage and are not expressed in T-cells, and that it becomes deregulated as a consequence of its juxtaposition to the TCRA/D locus (just like the TCL1 oncogene and the candidate oncogene TML1). Although both the oncogenic potential of the TCL6 gene and the significance of the fusion transcripts coding for ORF72 remain to be determined, our results suggested that TCL6 is also a candidate gene potentially involved in leukemogenesis.	10851082	2000	Identification of the TCL6 genes within the breakpoint cluster region on chromosome 14q32 in T-cell leukemia.
1299	TCONS_00010232	TCONS_00010232	N/A	N/A	N/A	cervical cancer	C53		microarray, qPCR, RNAi etc.	cell line (HeLa) 	down-regulated	Up-regulation of ENST00000420168, ENST00000564977 and down-regulation of TCONS_00010232 might stimulate FOXQ1 expression and suppress CASP3 expression in HPV-18 positive cervical cancer cell, which lead to HPV-induced proliferation and deficiency in apoptosis.	27363024	2016	Comprehensive analysis of lncRNAs microarray profile and mRNA-lncRNA co-expression in oncogenic HPV-positive cervical cancer cell lines.
1300	TCONS_00014512	TCONS_00014512	N/A	N/A	chr8:26723017-26724760	hepatoblastoma	C22.0	M8970/3	microarray, qPCR etc.	hepatoblastoma tissue	down-regulated	The results showed that expression of TCONS_00090092-MEG3, TCONS_l2_00000179, TCONS_l2_00014091, TCONS_l2_00004424, TCONS_l2_00021262, TCONS_00014978 and ESM1 were over-regulated, and TCONS_l2_00018070, TCONS_l2_00018071, TCONS_l2_00006843, TCONS_l2_00030560, TCONS_l2_00020565, TCONS_00024647, and TCONS_00014512 were downregulated in all four hepatoblastoma tissue samples relative to the paired distant noncancerous tissues (P<0.05).	24465615	2014	Genome-wide analysis of long noncoding RNA (lncRNA) expression in hepatoblastoma tissues.
1301	TCONS_00014978	TCONS_00014978; RP11-675F6.4-001	ENST00000519764	N/A	chr8:38552248-38559020	hepatoblastoma	C22.0	M8970/3	microarray, qPCR etc.	hepatoblastoma tissue	up-regulated	The results showed that expression of TCONS_00090092-MEG3, TCONS_l2_00000179, TCONS_l2_00014091, TCONS_l2_00004424, TCONS_l2_00021262, TCONS_00014978 and ESM1 were over-regulated, and TCONS_l2_00018070, TCONS_l2_00018071, TCONS_l2_00006843, TCONS_l2_00030560, TCONS_l2_00020565, TCONS_00024647, and TCONS_00014512 were downregulated in all four hepatoblastoma tissue samples relative to the paired distant noncancerous tissues (P<0.05).	24465615	2014	Genome-wide analysis of long noncoding RNA (lncRNA) expression in hepatoblastoma tissues.
1302	TCONS_00018278	TCONS_00018278	N/A	N/A	N/A	hepatocellular carcinoma	C22.0	M8170/3	microarray, qPCR etc.	HCC tissue	down-regulated	To validate the microarray analysis results, five lncRNAs were randomly selected from the differential lncRNAs and their expressions were analyzed using qPCR in 29 pairs of HCC and matched NT tissues. Our data indicated that the expressions of TCONS_00018278, AK093543, D16366 and ENST00000501583 were significantly downregulated in HCC, whereas the expression of NR_002819 showed no significant difference.	24876753	2014	LncRNAs expression signatures of hepatocellular carcinoma revealed by microarray.
1303	TCONS_00024647	TCONS_00024647	N/A	N/A	chr16:51527572-51543870	hepatoblastoma	C22.0	M8970/3	microarray, qPCR etc.	hepatoblastoma tissue	down-regulated	The results showed that expression of TCONS_00090092-MEG3, TCONS_l2_00000179, TCONS_l2_00014091, TCONS_l2_00004424, TCONS_l2_00021262, TCONS_00014978 and ESM1 were over-regulated, and TCONS_l2_00018070, TCONS_l2_00018071, TCONS_l2_00006843, TCONS_l2_00030560, TCONS_l2_00020565, TCONS_00024647, and TCONS_00014512 were downregulated in all four hepatoblastoma tissue samples relative to the paired distant noncancerous tissues (P<0.05).	24465615	2014	Genome-wide analysis of long noncoding RNA (lncRNA) expression in hepatoblastoma tissues.
1304	TCONS_00026506	TCONS_00026506	N/A	N/A	N/A	colorectal cancer	C19.9		microarray, qPCR etc.	cell line (HCT116)	up-regulated	To validate the microarray results, we randomly selected 6 differentially expressed lncRNAs (TCONS_00026506, ENST00000468960, NR_038990, ENST00000575202, ENST00000539009 and ENST00000544591) between CRR-HCT116 and parental HCT116 cells to confirm their expression levels by qPCR. Changes in lncRNA expression are involved in 5-FU-based CRR in CRC cells. 	25921151	2015	Microarray Analysis of Long Non-coding RNA Expression Profile Associated with 5-Fluorouracil-Based Chemoradiation Resistance in Colorectal Cancer Cells.
